Lab_ID,Animal ID,Initial Cage,Cage Breeding,Histo_ID,Intervention_Group,Mark,Diet,Group,DOB,Start_Diet,Start Breeding,Comments,date_EchoIRM,body_weight,fat_mass,lean_mass,free_water,nonfasting_glycemia,fasting_glycemia,MatureCorpusLutea_Ovary_1,MatureCorpusLutea_Ovary_2,MatureCL,MatureGraafianFoll_Ovary_1,MatureGraafianFoll_Ovary_2,MatureFoll,EndometrialThickness,Surface_CL,"sacrifice_
date",body_weight_sacrifice,liver_weight
12,TOS-010303,ETOS-001016,ETOS-001098,22TOS49,5,Left Ant,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,19.10.2021,43.5,21.93,19.91,0.1,7.8,6.3,3,NA,3,1,NA,1,NA,922'224,20.10.21,43.8,1.7
13,TOS-010304,ETOS-001017,ETOS-001100,22TOS50,7,Right Post,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,17.64,21.02,-0.02,6.9,5.8,8,3,5.5,0,0,0,546,2'064'475,30.09.21,42,1.44
14,TOS-010305,ETOS-001017,ETOS-001099,22TOS51,6,Right Middle,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,17.51,22.79,0.49,8.9,6.8,4,3,3.5,0,0,0,NA,4'233'640,16.09.21,40.5,2.24
15,TOS-010306,ETOS-001017,ETOS-001100,22TOS52,7,Right Ant,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,22.26,22.37,0,7.2,8.2,4,1,2.5,5,0,3,NA,5'168'135,20.09.21,53.5,2.57
16,TOS-010307,ETOS-001017,ETOS-001099,,6,Left Post,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,Sacrificed 07.09.21 for dermatitis.,08.09.2021,NA,17.37,22.6,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,TOS-010308,ETOS-001017,ETOS-001101,22TOS53,8,Left Middle,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,Severe dermatitis,08.09.2021,NA,11.98,28.09,1.03,6.2,5.7,NA,NA,NA,NA,NA,NA,279,NA,20.10.21,NA,1.87
18,TOS-010309,ETOS-001017,ETOS-001101,22TOS54,8,Left Ant,HFD,HFD,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,15.63,19.48,0.21,10,8.3,4,3,3.5,1,0,1,NA,2'199'597,20.09.21,30.7,2.12
19,TOS-010310,ETOS-001018,ETOS-001102,22TOS55,9,Right Post,ND,ND,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,2.29,21.62,0,6.6,7.9,1,2,1.5,1,0,1,450,228'907,20.10.21,24.7,1
20,TOS-010311,ETOS-001018,ETOS-001103,22TOS56,10,Right Middle,ND,ND,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,4.16,20.86,0.2,8.5,7.3,4,3,3.5,0,0,0,375,922'984,20.09.21,24.1,1.28
21,TOS-010312,ETOS-001018,ETOS-001102,22TOS57,9,Right Ant,ND,ND,20.01.2021,24.02.2021,21.06.2021,,08.09.2021,NA,6.82,22.85,0.2,7.4,7.4,1,5,3,0,1,1,197,643'151,17.09.21,31.6,1.46
23,TOS-010314,ETOS-001018,ETOS-001104,22TOS58,11,Left Middle,ND,ND,20.01.2021,24.02.2021,21.06.2021,,19.10.2021,26.8,4.68,21.04,0,7.8,8.3,4,2,3,0,4,2,227,471'237,22.10.21,26.8,1.2
24,TOS-010315,ETOS-001018,ETOS-001104,22TOS59,11,L Ant + R Ant,ND,ND,20.01.2021,24.02.2021,21.06.2021,,19.10.2021,25.9,4.13,20.07,0,7.9,6.8,3,6,4.5,1,1,1,256,1'082'314,22.10.21,25.9,1.4
